model,acc,f1,P,neg,L
RLP_PUL,0.935,0.9664082687338501,0.18,,
GCN_GAE,0.87,0.93048128342246,0.18,,
CCRNE,0.815,0.8980716253443526,0.19,200.0,
MCLS,0.9,0.9473684210526315,0.19,200.0,
LP_PUL,0.93,0.9637305699481865,0.19,200.0,
PU_LP,0.813953488372093,0.8974358974358975,0.19,172.0,
RCSVM,,0.0,0.19,0.0,
RANDOM,0.785,0.8795518207282913,0.19,,
RGCN_GAE,0.99,0.9949748743718593,0.19,,2.0
RGCN_GAE,0.99,0.9949748743718593,0.19,,3.0
RGCN_GAE,0.985,0.9924433249370277,0.19,,4.0
RGCN_GAE,0.98,0.98989898989899,0.19,,5.0
RLP_PUL,0.935,0.9664082687338501,0.19,,
GCN_GAE,0.915,0.9556135770234987,0.19,,
CCRNE,0.855,0.921832884097035,0.2,200.0,
MCLS,0.86,0.9247311827956989,0.2,200.0,
LP_PUL,0.92,0.9583333333333334,0.2,200.0,
PU_LP,0.8351648351648352,0.9101796407185628,0.2,182.0,
RCSVM,,0.0,0.2,0.0,
RANDOM,0.805,0.8919667590027701,0.2,,
RGCN_GAE,0.99,0.9949748743718593,0.2,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.2,,3.0
RGCN_GAE,0.955,0.9769820971867008,0.2,,4.0
RGCN_GAE,0.97,0.9847715736040609,0.2,,5.0
RLP_PUL,0.925,0.961038961038961,0.2,,
GCN_GAE,0.985,0.9924433249370277,0.2,,
CCRNE,0.835,0.9100817438692098,0.21,200.0,
MCLS,0.885,0.9389920424403183,0.21,200.0,
LP_PUL,0.94,0.9690721649484536,0.21,200.0,
PU_LP,0.8429319371727748,0.9147727272727273,0.21,191.0,
RCSVM,,0.0,0.21,0.0,
RANDOM,0.79,0.88268156424581,0.21,,
RGCN_GAE,0.995,0.9974937343358395,0.21,,2.0
RGCN_GAE,0.995,0.9974937343358395,0.21,,3.0
RGCN_GAE,0.985,0.9924433249370277,0.21,,4.0
RGCN_GAE,0.97,0.9847715736040609,0.21,,5.0
RLP_PUL,0.945,0.9717223650385605,0.21,,
GCN_GAE,0.875,0.9333333333333333,0.21,,
CCRNE,0.84,0.9130434782608695,0.22,200.0,
MCLS,0.915,0.9556135770234987,0.22,200.0,
LP_PUL,0.95,0.9743589743589743,0.22,200.0,
PU_LP,0.81,0.8950276243093923,0.22,200.0,
RCSVM,,0.0,0.22,0.0,
RANDOM,0.795,0.8857938718662952,0.22,,
RGCN_GAE,0.99,0.9949748743718593,0.22,,2.0
RGCN_GAE,0.99,0.9949748743718593,0.22,,3.0
RGCN_GAE,0.99,0.9949748743718593,0.22,,4.0
RGCN_GAE,0.95,0.9743589743589743,0.22,,5.0
RLP_PUL,0.955,0.9769820971867008,0.22,,
GCN_GAE,0.89,0.9417989417989417,0.22,,
CCRNE,0.83,0.907103825136612,0.23,200.0,
MCLS,0.92,0.9583333333333334,0.23,200.0,
LP_PUL,0.94,0.9690721649484536,0.23,200.0,
PU_LP,0.8564593301435407,0.9226804123711341,0.23,209.0,
RCSVM,,0.0,0.23,0.0,
RANDOM,0.8,0.8888888888888888,0.23,,
RGCN_GAE,0.985,0.9924433249370277,0.23,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.23,,3.0
RGCN_GAE,0.93,0.9637305699481865,0.23,,4.0
RGCN_GAE,0.91,0.9528795811518325,0.23,,5.0
RLP_PUL,0.945,0.9717223650385605,0.23,,
GCN_GAE,0.925,0.961038961038961,0.23,,
CCRNE,0.88,0.9361702127659575,0.24,200.0,
MCLS,0.89,0.9417989417989417,0.24,200.0,
LP_PUL,0.935,0.9664082687338501,0.24,200.0,
PU_LP,0.8486238532110092,0.9181141439205955,0.24,218.0,
RCSVM,,0.0,0.24,0.0,
RANDOM,0.77,0.8700564971751412,0.24,,
RGCN_GAE,0.99,0.9949748743718593,0.24,,2.0
RGCN_GAE,0.99,0.9949748743718593,0.24,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.24,,4.0
RGCN_GAE,0.965,0.9821882951653944,0.24,,5.0
RLP_PUL,0.935,0.9664082687338501,0.24,,
GCN_GAE,0.885,0.9389920424403183,0.24,,
CCRNE,0.835,0.9100817438692098,0.25,200.0,
MCLS,0.865,0.9276139410187667,0.25,200.0,
LP_PUL,0.925,0.961038961038961,0.25,200.0,
PU_LP,0.8458149779735683,0.9164677804295943,0.25,227.0,
RCSVM,,0.0,0.25,0.0,
RANDOM,0.775,0.8732394366197183,0.25,,
RGCN_GAE,0.995,0.9974937343358395,0.25,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.25,,3.0
RGCN_GAE,0.985,0.9924433249370277,0.25,,4.0
RGCN_GAE,0.96,0.9795918367346939,0.25,,5.0
RLP_PUL,0.925,0.961038961038961,0.25,,
GCN_GAE,0.915,0.9556135770234987,0.25,,
CCRNE,0.79,0.88268156424581,0.01,200.0,
MCLS,0.895,0.9445910290237467,0.01,200.0,
LP_PUL,0.79,0.88268156424581,0.01,200.0,
PU_LP,0.6666666666666666,0.8,0.01,9.0,
RCSVM,,0.0,0.01,0.0,
RANDOM,0.785,0.8795518207282913,0.01,,
RGCN_GAE,0.995,0.9974937343358395,0.01,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.01,,3.0
RGCN_GAE,0.97,0.9847715736040609,0.01,,4.0
