model,acc,f1,P,neg,L
RCSVM,0.38,0.5507246376811594,0.14,450.0,
RANDOM,0.515,0.6798679867986799,0.14,,
RGCN_GAE,0.58,0.7341772151898734,0.14,,2.0
RGCN_GAE,0.58,0.7341772151898734,0.14,,3.0
RGCN_GAE,0.565,0.7220447284345048,0.14,,4.0
RGCN_GAE,0.575,0.7301587301587301,0.14,,5.0
RLP_PUL,0.53,0.6928104575163399,0.14,,
GCN_GAE,0.495,0.6622073578595318,0.14,,
CCRNE,0.45,0.6206896551724138,0.15,200.0,
MCLS,0.555,0.7138263665594855,0.15,200.0,
LP_PUL,0.525,0.6885245901639344,0.15,200.0,
PU_LP,0.5,0.6666666666666666,0.15,202.0,
RCSVM,0.38613861386138615,0.5571428571428572,0.15,404.0,
RANDOM,0.475,0.6440677966101694,0.15,,
RGCN_GAE,0.52,0.6842105263157895,0.15,,2.0
RGCN_GAE,0.56,0.717948717948718,0.15,,3.0
RGCN_GAE,0.55,0.7096774193548387,0.15,,4.0
RGCN_GAE,0.495,0.6622073578595318,0.15,,5.0
RLP_PUL,0.59,0.7421383647798742,0.15,,
GCN_GAE,0.495,0.6622073578595318,0.15,,
CCRNE,0.52,0.6842105263157895,0.16,200.0,
MCLS,0.545,0.7055016181229773,0.16,200.0,
LP_PUL,0.52,0.6842105263157895,0.16,200.0,
PU_LP,0.5161290322580645,0.6808510638297872,0.16,217.0,
RCSVM,0.38866396761133604,0.5597667638483965,0.16,494.0,
RANDOM,0.515,0.6798679867986799,0.16,,
RGCN_GAE,0.605,0.7538940809968847,0.16,,2.0
RGCN_GAE,0.58,0.7341772151898734,0.16,,3.0
RGCN_GAE,0.55,0.7096774193548387,0.16,,4.0
RGCN_GAE,0.55,0.7096774193548387,0.16,,5.0
RLP_PUL,0.54,0.7012987012987013,0.16,,
GCN_GAE,0.5,0.6666666666666666,0.16,,
CCRNE,0.505,0.6710963455149501,0.17,200.0,
MCLS,0.55,0.7096774193548387,0.17,200.0,
LP_PUL,0.51,0.6754966887417219,0.17,200.0,
PU_LP,0.5478260869565217,0.7078651685393258,0.17,230.0,
RCSVM,0.36787564766839376,0.5378787878787878,0.17,386.0,
RANDOM,0.48,0.6486486486486487,0.17,,
RGCN_GAE,0.585,0.7381703470031545,0.17,,2.0
RGCN_GAE,0.585,0.7381703470031545,0.17,,3.0
RGCN_GAE,0.535,0.6970684039087948,0.17,,4.0
RGCN_GAE,0.525,0.6885245901639344,0.17,,5.0
RLP_PUL,0.51,0.6754966887417219,0.17,,
GCN_GAE,0.495,0.6622073578595318,0.17,,
CCRNE,0.545,0.7055016181229773,0.18,200.0,
MCLS,0.515,0.6798679867986799,0.18,200.0,
LP_PUL,0.53,0.6928104575163399,0.18,200.0,
PU_LP,0.5349794238683128,0.6970509383378016,0.18,243.0,
RCSVM,0.3641456582633053,0.5338809034907598,0.18,357.0,
RANDOM,0.55,0.7096774193548387,0.18,,
RGCN_GAE,0.56,0.717948717948718,0.18,,2.0
RGCN_GAE,0.57,0.7261146496815286,0.18,,3.0
RGCN_GAE,0.545,0.7055016181229773,0.18,,4.0
RGCN_GAE,0.565,0.7220447284345048,0.18,,5.0
RLP_PUL,0.545,0.7055016181229773,0.18,,
GCN_GAE,0.545,0.7055016181229773,0.18,,
CCRNE,0.57,0.7261146496815286,0.19,200.0,
MCLS,0.5,0.6666666666666666,0.19,200.0,
LP_PUL,0.54,0.7012987012987013,0.19,200.0,
PU_LP,0.5525291828793775,0.7117794486215538,0.19,257.0,
RCSVM,0.36153846153846153,0.5310734463276836,0.19,520.0,
RANDOM,0.475,0.6440677966101694,0.19,,
RGCN_GAE,0.63,0.7730061349693251,0.19,,2.0
RGCN_GAE,0.59,0.7421383647798742,0.19,,3.0
RGCN_GAE,0.57,0.7261146496815286,0.19,,4.0
RGCN_GAE,0.565,0.7220447284345048,0.19,,5.0
RLP_PUL,0.575,0.7301587301587301,0.19,,
GCN_GAE,0.525,0.6885245901639344,0.19,,
