model,acc,f1,P,neg,L
RGCN_GAE,0.93,0.9637305699481865,0.02,,2.0
RGCN_GAE,0.91,0.9528795811518325,0.02,,3.0
RGCN_GAE,0.885,0.9389920424403183,0.02,,4.0
RGCN_GAE,0.865,0.9276139410187667,0.02,,5.0
RLP_PUL,0.825,0.9041095890410958,0.02,,
GCN_GAE,0.735,0.8472622478386167,0.02,,
CCRNE,0.83,0.907103825136612,0.03,200.0,
MCLS,0.835,0.9100817438692098,0.03,200.0,
LP_PUL,0.81,0.8950276243093923,0.03,200.0,
PU_LP,0.7727272727272727,0.8717948717948718,0.03,66.0,
RCSVM,0.548502994011976,0.708430007733952,0.03,3340.0,
RANDOM,0.765,0.8668555240793201,0.03,,
RGCN_GAE,0.945,0.9717223650385605,0.03,,2.0
RGCN_GAE,0.895,0.9445910290237467,0.03,,3.0
RGCN_GAE,0.845,0.9159891598915989,0.03,,4.0
RGCN_GAE,0.87,0.93048128342246,0.03,,5.0
RLP_PUL,0.855,0.921832884097035,0.03,,
GCN_GAE,0.755,0.8603988603988604,0.03,,
CCRNE,0.8,0.8888888888888888,0.04,200.0,
MCLS,0.79,0.88268156424581,0.04,200.0,
LP_PUL,0.815,0.8980716253443526,0.04,200.0,
PU_LP,0.75,0.8571428571428571,0.04,88.0,
RCSVM,0.6020316701523752,0.7515852293920179,0.04,3347.0,
RANDOM,0.71,0.8304093567251462,0.04,,
RGCN_GAE,0.91,0.9528795811518325,0.04,,2.0
RGCN_GAE,0.88,0.9361702127659575,0.04,,3.0
RGCN_GAE,0.91,0.9528795811518325,0.04,,4.0
RGCN_GAE,0.875,0.9333333333333333,0.04,,5.0
RLP_PUL,0.815,0.8980716253443526,0.04,,
GCN_GAE,0.815,0.8980716253443526,0.04,,
CCRNE,0.76,0.8636363636363636,0.05,200.0,
MCLS,0.81,0.8950276243093923,0.05,200.0,
LP_PUL,0.825,0.9041095890410958,0.05,200.0,
PU_LP,0.7909090909090909,0.883248730964467,0.05,110.0,
RCSVM,0.5501618122977346,0.7098121085594989,0.05,3090.0,
RANDOM,0.745,0.8538681948424068,0.05,,
RGCN_GAE,0.985,0.9924433249370277,0.05,,2.0
RGCN_GAE,0.895,0.9445910290237467,0.05,,3.0
RGCN_GAE,0.865,0.9276139410187667,0.05,,4.0
RGCN_GAE,0.88,0.9361702127659575,0.05,,5.0
RLP_PUL,0.855,0.921832884097035,0.05,,
GCN_GAE,0.81,0.8950276243093923,0.05,,
CCRNE,0.8,0.8888888888888888,0.06,200.0,
MCLS,0.87,0.93048128342246,0.06,200.0,
LP_PUL,0.84,0.9130434782608695,0.06,200.0,
PU_LP,0.8181818181818182,0.9,0.06,132.0,
RCSVM,0.5844464232710003,0.7377294866991383,0.06,3369.0,
RANDOM,0.795,0.8857938718662952,0.06,,
RGCN_GAE,0.95,0.9743589743589743,0.06,,2.0
RGCN_GAE,0.9,0.9473684210526315,0.06,,3.0
RGCN_GAE,0.94,0.9690721649484536,0.06,,4.0
RGCN_GAE,0.905,0.9501312335958005,0.06,,5.0
RLP_PUL,0.825,0.9041095890410958,0.06,,
GCN_GAE,0.765,0.8668555240793201,0.06,,
CCRNE,0.78,0.8764044943820225,0.07,200.0,
MCLS,0.795,0.8857938718662952,0.07,200.0,
LP_PUL,0.835,0.9100817438692098,0.07,200.0,
PU_LP,0.7792207792207793,0.8759124087591241,0.07,154.0,
RCSVM,0.5789323437053954,0.7333212800578557,0.07,3503.0,
RANDOM,0.78,0.8764044943820225,0.07,,
RGCN_GAE,0.92,0.9583333333333334,0.07,,2.0
RGCN_GAE,0.905,0.9501312335958005,0.07,,3.0
RGCN_GAE,0.845,0.9159891598915989,0.07,,4.0
RGCN_GAE,0.82,0.9010989010989011,0.07,,5.0
RLP_PUL,0.875,0.9333333333333333,0.07,,
GCN_GAE,0.79,0.88268156424581,0.07,,
CCRNE,0.85,0.918918918918919,0.08,200.0,
MCLS,0.84,0.9130434782608695,0.08,200.0,
LP_PUL,0.83,0.907103825136612,0.08,200.0,
PU_LP,0.7670454545454546,0.8681672025723473,0.08,176.0,
RCSVM,0.5930013458950202,0.7445082798242649,0.08,3715.0,
RANDOM,0.78,0.8764044943820225,0.08,,
RGCN_GAE,0.955,0.9769820971867008,0.08,,2.0
RGCN_GAE,0.88,0.9361702127659575,0.08,,3.0
RGCN_GAE,0.915,0.9556135770234987,0.08,,4.0
RGCN_GAE,0.86,0.9247311827956989,0.08,,5.0
RLP_PUL,0.865,0.9276139410187667,0.08,,
GCN_GAE,0.785,0.8795518207282913,0.08,,
CCRNE,0.785,0.8795518207282913,0.09,200.0,
MCLS,0.91,0.9528795811518325,0.09,200.0,
LP_PUL,0.845,0.9159891598915989,0.09,200.0,
PU_LP,0.7777777777777778,0.875,0.09,198.0,
RCSVM,0.6065621370499419,0.7551057292607989,0.09,3444.0,
RANDOM,0.765,0.8668555240793201,0.09,,
RGCN_GAE,0.95,0.9743589743589743,0.09,,2.0
RGCN_GAE,0.91,0.9528795811518325,0.09,,3.0
RGCN_GAE,0.9,0.9473684210526315,0.09,,4.0
RGCN_GAE,0.9,0.9473684210526315,0.09,,5.0
RLP_PUL,0.9,0.9473684210526315,0.09,,
GCN_GAE,0.8,0.8888888888888888,0.09,,
CCRNE,0.785,0.8795518207282913,0.1,200.0,
MCLS,0.835,0.9100817438692098,0.1,200.0,
LP_PUL,0.84,0.9130434782608695,0.1,200.0,
PU_LP,0.7918552036199095,0.8838383838383839,0.1,221.0,
RCSVM,0.5556868537666174,0.7143942271173567,0.1,3385.0,
RANDOM,0.755,0.8603988603988604,0.1,,
RGCN_GAE,0.97,0.9847715736040609,0.1,,2.0
RGCN_GAE,0.93,0.9637305699481865,0.1,,3.0
RGCN_GAE,0.885,0.9389920424403183,0.1,,4.0
RGCN_GAE,0.88,0.9361702127659575,0.1,,5.0
RLP_PUL,0.83,0.907103825136612,0.1,,
GCN_GAE,0.8,0.8888888888888888,0.1,,
CCRNE,0.81,0.8950276243093923,0.11,200.0,
MCLS,0.86,0.9247311827956989,0.11,200.0,
LP_PUL,0.825,0.9041095890410958,0.11,200.0,
PU_LP,0.7901234567901234,0.8827586206896552,0.11,243.0,
RCSVM,0.5469559585492227,0.70713837136278,0.11,3088.0,
RANDOM,0.805,0.8919667590027701,0.11,,
RGCN_GAE,0.955,0.9769820971867008,0.11,,2.0
RGCN_GAE,0.895,0.9445910290237467,0.11,,3.0
RGCN_GAE,0.885,0.9389920424403183,0.11,,4.0
RGCN_GAE,0.885,0.9389920424403183,0.11,,5.0
RLP_PUL,0.875,0.9333333333333333,0.11,,
GCN_GAE,0.835,0.9100817438692098,0.11,,
CCRNE,0.79,0.88268156424581,0.12,200.0,
MCLS,0.84,0.9130434782608695,0.12,200.0,
LP_PUL,0.835,0.9100817438692098,0.12,200.0,
PU_LP,0.7924528301886793,0.8842105263157894,0.12,265.0,
RCSVM,0.6015139226818059,0.7511816340310601,0.12,3699.0,
RANDOM,0.755,0.8603988603988604,0.12,,
RGCN_GAE,0.94,0.9690721649484536,0.12,,2.0
RGCN_GAE,0.89,0.9417989417989417,0.12,,3.0
RGCN_GAE,0.885,0.9389920424403183,0.12,,4.0
RGCN_GAE,0.87,0.93048128342246,0.12,,5.0
RLP_PUL,0.865,0.9276139410187667,0.12,,
GCN_GAE,0.8,0.8888888888888888,0.12,,
CCRNE,0.78,0.8764044943820225,0.13,200.0,
MCLS,0.79,0.88268156424581,0.13,200.0,
LP_PUL,0.84,0.9130434782608695,0.13,200.0,
PU_LP,0.8118466898954704,0.8961538461538462,0.13,287.0,
RCSVM,0.6208609271523179,0.7660878447395302,0.13,3624.0,
RANDOM,0.795,0.8857938718662952,0.13,,
RGCN_GAE,0.915,0.9556135770234987,0.13,,2.0
RGCN_GAE,0.885,0.9389920424403183,0.13,,3.0
RGCN_GAE,0.855,0.921832884097035,0.13,,4.0
RGCN_GAE,0.84,0.9130434782608695,0.13,,5.0
RLP_PUL,0.845,0.9159891598915989,0.13,,
GCN_GAE,0.805,0.8919667590027701,0.13,,
CCRNE,0.82,0.9010989010989011,0.14,200.0,
MCLS,0.845,0.9159891598915989,0.14,200.0,
LP_PUL,0.825,0.9041095890410958,0.14,200.0,
PU_LP,0.7993527508090615,0.8884892086330936,0.14,309.0,
RCSVM,0.6111713665943601,0.7586671154493436,0.14,3688.0,
RANDOM,0.71,0.8304093567251462,0.14,,
RGCN_GAE,0.965,0.9821882951653944,0.14,,2.0
RGCN_GAE,0.88,0.9361702127659575,0.14,,3.0
RGCN_GAE,0.87,0.93048128342246,0.14,,4.0
RGCN_GAE,0.85,0.918918918918919,0.14,,5.0
RLP_PUL,0.865,0.9276139410187667,0.14,,
GCN_GAE,0.785,0.8795518207282913,0.14,,
CCRNE,0.8,0.8888888888888888,0.15,200.0,
MCLS,0.79,0.88268156424581,0.15,200.0,
LP_PUL,0.835,0.9100817438692098,0.15,200.0,
PU_LP,0.797583081570997,0.8873949579831932,0.15,331.0,
RCSVM,0.6052086416099438,0.7540560471976401,0.15,3379.0,
RANDOM,0.75,0.8571428571428571,0.15,,
RGCN_GAE,0.935,0.9664082687338501,0.15,,2.0
RGCN_GAE,0.88,0.9361702127659575,0.15,,3.0
