model,acc,f1,P,neg,L
RGCN_GAE,0.995,0.9974937343358395,0.21,,3.0
RGCN_GAE,0.99,0.9949748743718593,0.21,,4.0
RGCN_GAE,0.935,0.9664082687338501,0.21,,5.0
RLP_PUL,0.955,0.9769820971867008,0.21,,
GCN_GAE,0.965,0.9821882951653944,0.21,,
CCRNE,0.775,0.8732394366197183,0.22,200.0,
MCLS,0.795,0.8857938718662952,0.22,200.0,
LP_PUL,0.845,0.9159891598915989,0.22,200.0,
PU_LP,0.7801724137931034,0.8765133171912833,0.22,232.0,
RCSVM,0.7402120717781403,0.8507147879071948,0.22,2452.0,
RANDOM,0.685,0.8130563798219584,0.22,,
RGCN_GAE,1.0,1.0,0.22,,2.0
RGCN_GAE,0.98,0.98989898989899,0.22,,3.0
RGCN_GAE,0.95,0.9743589743589743,0.22,,4.0
RGCN_GAE,0.945,0.9717223650385605,0.22,,5.0
RLP_PUL,0.94,0.9690721649484536,0.22,,
GCN_GAE,0.955,0.9769820971867008,0.22,,
CCRNE,0.75,0.8571428571428571,0.23,200.0,
MCLS,0.8,0.8888888888888888,0.23,200.0,
LP_PUL,0.855,0.921832884097035,0.23,200.0,
PU_LP,0.7950819672131147,0.8858447488584474,0.23,244.0,
RCSVM,0.7336170212765958,0.8463426607756505,0.23,2350.0,
RANDOM,0.7,0.8235294117647058,0.23,,
RGCN_GAE,0.995,0.9974937343358395,0.23,,2.0
RGCN_GAE,0.995,0.9974937343358395,0.23,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.23,,4.0
RGCN_GAE,0.945,0.9717223650385605,0.23,,5.0
RLP_PUL,0.945,0.9717223650385605,0.23,,
GCN_GAE,0.97,0.9847715736040609,0.23,,
CCRNE,0.81,0.8950276243093923,0.24,200.0,
MCLS,0.875,0.9333333333333333,0.24,200.0,
LP_PUL,0.875,0.9333333333333333,0.24,200.0,
PU_LP,0.8346456692913385,0.9098712446351931,0.24,254.0,
RCSVM,0.748582995951417,0.8562167168326001,0.24,2470.0,
RANDOM,0.715,0.8338192419825073,0.24,,
RGCN_GAE,1.0,1.0,0.24,,2.0
RGCN_GAE,1.0,1.0,0.24,,3.0
RGCN_GAE,0.99,0.9949748743718593,0.24,,4.0
RGCN_GAE,0.98,0.98989898989899,0.24,,5.0
RLP_PUL,0.96,0.9795918367346939,0.24,,
GCN_GAE,0.985,0.9924433249370277,0.24,,
CCRNE,0.775,0.8732394366197183,0.25,200.0,
MCLS,0.78,0.8764044943820225,0.25,200.0,
LP_PUL,0.85,0.918918918918919,0.25,200.0,
PU_LP,0.8150943396226416,0.8981288981288982,0.25,265.0,
RCSVM,0.7475328947368421,0.8555294117647059,0.25,2432.0,
RANDOM,0.69,0.8165680473372781,0.25,,
RGCN_GAE,0.985,0.9924433249370277,0.25,,2.0
RGCN_GAE,0.96,0.9795918367346939,0.25,,3.0
RGCN_GAE,0.945,0.9717223650385605,0.25,,4.0
RGCN_GAE,0.935,0.9664082687338501,0.25,,5.0
RLP_PUL,0.955,0.9769820971867008,0.25,,
GCN_GAE,0.975,0.9873417721518988,0.25,,
CCRNE,0.725,0.8405797101449275,0.01,200.0,
MCLS,0.83,0.907103825136612,0.01,200.0,
LP_PUL,0.84,0.9130434782608695,0.01,200.0,
PU_LP,0.9,0.9473684210526315,0.01,10.0,
RCSVM,0.7,0.8235294117647058,0.01,2700.0,
RANDOM,0.73,0.8439306358381503,0.01,,
RGCN_GAE,0.965,0.9821882951653944,0.01,,2.0
RGCN_GAE,0.98,0.98989898989899,0.01,,3.0
RGCN_GAE,0.965,0.9821882951653944,0.01,,4.0
RGCN_GAE,0.93,0.9637305699481865,0.01,,5.0
RLP_PUL,0.85,0.918918918918919,0.01,,
GCN_GAE,0.92,0.9583333333333334,0.01,,
CCRNE,0.71,0.8304093567251462,0.02,200.0,
MCLS,0.795,0.8857938718662952,0.02,200.0,
LP_PUL,0.805,0.8919667590027701,0.02,200.0,
PU_LP,0.9,0.9473684210526315,0.02,20.0,
RCSVM,0.7019695280564846,0.8248908296943231,0.02,2691.0,
RANDOM,0.675,0.8059701492537313,0.02,,
RGCN_GAE,0.935,0.9664082687338501,0.02,,2.0
RGCN_GAE,0.965,0.9821882951653944,0.02,,3.0
RGCN_GAE,0.88,0.9361702127659575,0.02,,4.0
RGCN_GAE,0.905,0.9501312335958005,0.02,,5.0
RLP_PUL,0.785,0.8795518207282913,0.02,,
GCN_GAE,0.98,0.98989898989899,0.02,,
CCRNE,0.75,0.8571428571428571,0.03,200.0,
MCLS,0.82,0.9010989010989011,0.03,200.0,
LP_PUL,0.875,0.9333333333333333,0.03,200.0,
PU_LP,0.7419354838709677,0.8518518518518519,0.03,31.0,
RCSVM,0.7021036814425244,0.8249834473626131,0.03,2662.0,
RANDOM,0.69,0.8165680473372781,0.03,,
RGCN_GAE,0.98,0.98989898989899,0.03,,2.0
RGCN_GAE,0.955,0.9769820971867008,0.03,,3.0
RGCN_GAE,0.98,0.98989898989899,0.03,,4.0
RGCN_GAE,0.95,0.9743589743589743,0.03,,5.0
RLP_PUL,0.905,0.9501312335958005,0.03,,
GCN_GAE,0.95,0.9743589743589743,0.03,,
CCRNE,0.76,0.8636363636363636,0.04,200.0,
MCLS,0.81,0.8950276243093923,0.04,200.0,
LP_PUL,0.855,0.921832884097035,0.04,200.0,
PU_LP,0.7804878048780488,0.8767123287671232,0.04,41.0,
RCSVM,0.7039969834087482,0.826289001991591,0.04,2652.0,
RANDOM,0.7,0.8235294117647058,0.04,,
RGCN_GAE,0.98,0.98989898989899,0.04,,2.0
RGCN_GAE,0.94,0.9690721649484536,0.04,,3.0
RGCN_GAE,0.92,0.9583333333333334,0.04,,4.0
RGCN_GAE,0.94,0.9690721649484536,0.04,,5.0
RLP_PUL,0.935,0.9664082687338501,0.04,,
GCN_GAE,0.95,0.9743589743589743,0.04,,
CCRNE,0.72,0.8372093023255814,0.05,200.0,
MCLS,0.705,0.8269794721407625,0.05,200.0,
LP_PUL,0.825,0.9041095890410958,0.05,200.0,
PU_LP,0.7692307692307693,0.8695652173913043,0.05,52.0,
RCSVM,0.7080675422138837,0.8290861159929701,0.05,2665.0,
RANDOM,0.73,0.8439306358381503,0.05,,
RGCN_GAE,0.915,0.9556135770234987,0.05,,2.0
RGCN_GAE,0.945,0.9717223650385605,0.05,,3.0
RGCN_GAE,0.955,0.9769820971867008,0.05,,4.0
RGCN_GAE,0.955,0.9769820971867008,0.05,,5.0
RLP_PUL,0.86,0.9247311827956989,0.05,,
GCN_GAE,0.965,0.9821882951653944,0.05,,
CCRNE,0.74,0.8505747126436781,0.06,200.0,
MCLS,0.9,0.9473684210526315,0.06,200.0,
LP_PUL,0.82,0.9010989010989011,0.06,200.0,
PU_LP,0.746031746031746,0.8545454545454545,0.06,63.0,
RCSVM,0.7089326267978804,0.8296788482834995,0.06,2642.0,
RANDOM,0.645,0.78419452887538,0.06,,
RGCN_GAE,0.97,0.9847715736040609,0.06,,2.0
RGCN_GAE,0.98,0.98989898989899,0.06,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.06,,4.0
RGCN_GAE,0.945,0.9717223650385605,0.06,,5.0
RLP_PUL,0.87,0.93048128342246,0.06,,
GCN_GAE,0.92,0.9583333333333334,0.06,,
CCRNE,0.775,0.8732394366197183,0.07,200.0,
MCLS,0.8,0.8888888888888888,0.07,200.0,
LP_PUL,0.82,0.9010989010989011,0.07,200.0,
PU_LP,0.6756756756756757,0.8064516129032258,0.07,74.0,
RCSVM,0.710806697108067,0.8309608540925267,0.07,2628.0,
RANDOM,0.695,0.8200589970501475,0.07,,
RGCN_GAE,0.99,0.9949748743718593,0.07,,2.0
RGCN_GAE,0.97,0.9847715736040609,0.07,,3.0
RGCN_GAE,0.955,0.9769820971867008,0.07,,4.0
RGCN_GAE,0.965,0.9821882951653944,0.07,,5.0
RLP_PUL,0.915,0.9556135770234987,0.07,,
GCN_GAE,0.955,0.9769820971867008,0.07,,
CCRNE,0.74,0.8505747126436781,0.08,200.0,
MCLS,0.815,0.8980716253443526,0.08,200.0,
LP_PUL,0.87,0.93048128342246,0.08,200.0,
PU_LP,0.6547619047619048,0.7913669064748201,0.08,84.0,
RCSVM,0.6614892645043399,0.7962606543854825,0.08,2189.0,
RANDOM,0.665,0.7987987987987988,0.08,,
RGCN_GAE,0.98,0.98989898989899,0.08,,2.0
RGCN_GAE,0.975,0.9873417721518988,0.08,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.08,,4.0
RGCN_GAE,0.94,0.9690721649484536,0.08,,5.0
RLP_PUL,0.93,0.9637305699481865,0.08,,
GCN_GAE,0.97,0.9847715736040609,0.08,,
CCRNE,0.755,0.8603988603988604,0.09,200.0,
MCLS,0.915,0.9556135770234987,0.09,200.0,
LP_PUL,0.835,0.9100817438692098,0.09,200.0,
PU_LP,0.723404255319149,0.8395061728395061,0.09,94.0,
RCSVM,0.7154316271963331,0.8341126697840124,0.09,2618.0,
RANDOM,0.67,0.8023952095808383,0.09,,
RGCN_GAE,0.985,0.9924433249370277,0.09,,2.0
RGCN_GAE,0.99,0.9949748743718593,0.09,,3.0
RGCN_GAE,0.98,0.98989898989899,0.09,,4.0
RGCN_GAE,0.945,0.9717223650385605,0.09,,5.0
RLP_PUL,0.905,0.9501312335958005,0.09,,
GCN_GAE,0.93,0.9637305699481865,0.09,,
CCRNE,0.75,0.8571428571428571,0.1,200.0,
MCLS,0.78,0.8764044943820225,0.1,200.0,
LP_PUL,0.87,0.93048128342246,0.1,200.0,
PU_LP,0.6952380952380952,0.8202247191011236,0.1,105.0,
RCSVM,0.6712141882673943,0.803265306122449,0.1,2199.0,
RANDOM,0.71,0.8304093567251462,0.1,,
RGCN_GAE,0.99,0.9949748743718593,0.1,,2.0
RGCN_GAE,0.995,0.9974937343358395,0.1,,3.0
RGCN_GAE,0.96,0.9795918367346939,0.1,,4.0
RGCN_GAE,0.96,0.9795918367346939,0.1,,5.0
RLP_PUL,0.94,0.9690721649484536,0.1,,
GCN_GAE,0.93,0.9637305699481865,0.1,,
CCRNE,0.745,0.8538681948424068,0.11,200.0,
MCLS,0.825,0.9041095890410958,0.11,200.0,
LP_PUL,0.85,0.918918918918919,0.11,200.0,
PU_LP,0.6869565217391305,0.8144329896907216,0.11,115.0,
RCSVM,0.7129813418023025,0.8324449594438007,0.11,2519.0,
RANDOM,0.735,0.8472622478386167,0.11,,
RGCN_GAE,0.965,0.9821882951653944,0.11,,2.0
RGCN_GAE,0.945,0.9717223650385605,0.11,,3.0
RGCN_GAE,0.95,0.9743589743589743,0.11,,4.0
RGCN_GAE,0.905,0.9501312335958005,0.11,,5.0
RLP_PUL,0.915,0.9556135770234987,0.11,,
GCN_GAE,0.965,0.9821882951653944,0.11,,
CCRNE,0.76,0.8636363636363636,0.12,200.0,
MCLS,0.755,0.8603988603988604,0.12,200.0,
LP_PUL,0.83,0.907103825136612,0.12,200.0,
PU_LP,0.6614173228346457,0.7962085308056872,0.12,127.0,
RCSVM,0.7160983346550357,0.8345656192236599,0.12,2522.0,
RANDOM,0.68,0.8095238095238095,0.12,,
RGCN_GAE,0.99,0.9949748743718593,0.12,,2.0
RGCN_GAE,0.99,0.9949748743718593,0.12,,3.0
RGCN_GAE,0.95,0.9743589743589743,0.12,,4.0
RGCN_GAE,0.95,0.9743589743589743,0.12,,5.0
RLP_PUL,0.905,0.9501312335958005,0.12,,
GCN_GAE,0.885,0.9389920424403183,0.12,,
CCRNE,0.755,0.8603988603988604,0.13,200.0,
MCLS,0.76,0.8636363636363636,0.13,200.0,
