L,P,acc,f1,acc_per_epoch,f1_per_epoch,losses,model
,0.04,0.62,0.7654320987654321,,,,RANDOM
2,0.04,0.925,0.961038961038961,,,,RGCN_GAE
3,0.04,0.91,0.9528795811518325,,,,RGCN_GAE
4,0.04,0.915,0.9556135770234987,,,,RGCN_GAE
5,0.04,0.875,0.9333333333333333,,,,RGCN_GAE
,0.04,0.785,0.8795518207282913,,,,RLP_PUL
,0.04,0.76,0.8636363636363636,,,,GCN_GAE
2,0.05,0.605,0.7538940809968847,"[0.59, 0.55, 0.56, 0.555, 0.58, 0.59, 0.57, 0.59, 0.6, 0.605, 0.605, 0.605, 0.595, 0.59, 0.59, 0.61, 0.61, 0.595, 0.605, 0.605]","[0.7421383647798742, 0.7096774193548387, 0.717948717948718, 0.7138263665594855, 0.7341772151898734, 0.7421383647798742, 0.7261146496815286, 0.7421383647798742, 0.75, 0.7538940809968847, 0.7538940809968847, 0.7538940809968847, 0.7460815047021944, 0.7421383647798742, 0.7421383647798742, 0.7577639751552795, 0.7577639751552795, 0.7460815047021944, 0.7538940809968847, 0.7538940809968847]","[0.6992703676223755, 0.6981117129325867, 0.6970832347869873, 0.6961655020713806, 0.6953424215316772, 0.6946017742156982, 0.69393390417099, 0.693330705165863, 0.692785382270813, 0.6922917366027832, 0.6918447017669678, 0.6914398074150085, 0.6910727024078369, 0.6907398104667664, 0.6904382705688477, 0.6901649236679077, 0.6899171471595764, 0.6896927356719971, 0.689489483833313, 0.6893056035041809]",RGCN_MLP
3,0.05,0.61,0.7577639751552795,"[0.76, 0.72, 0.7, 0.67, 0.645, 0.645, 0.645, 0.63, 0.65, 0.66, 0.66, 0.65, 0.615, 0.605, 0.605, 0.6, 0.6, 0.615, 0.615, 0.61]","[0.8636363636363636, 0.8372093023255814, 0.8235294117647058, 0.8023952095808383, 0.78419452887538, 0.78419452887538, 0.78419452887538, 0.7730061349693251, 0.7878787878787878, 0.7951807228915663, 0.7951807228915663, 0.7878787878787878, 0.7616099071207431, 0.7538940809968847, 0.7538940809968847, 0.75, 0.75, 0.7616099071207431, 0.7616099071207431, 0.7577639751552795]","[0.6936532855033875, 0.6923809051513672, 0.6912462115287781, 0.690221905708313, 0.6892911791801453, 0.6884426474571228, 0.6876676082611084, 0.6869587302207947, 0.686309814453125, 0.6857157349586487, 0.6851718425750732, 0.6846738457679749, 0.6842183470726013, 0.6838018298149109, 0.6834213733673096, 0.6830740571022034, 0.6827571392059326, 0.6824682950973511, 0.6822052597999573, 0.6819658279418945]",RGCN_MLP
4,0.05,0.58,0.7341772151898734,"[0.505, 0.48, 0.495, 0.52, 0.5, 0.52, 0.52, 0.525, 0.535, 0.53, 0.525, 0.54, 0.55, 0.545, 0.54, 0.545, 0.555, 0.57, 0.58, 0.58]","[0.6710963455149501, 0.6486486486486487, 0.6622073578595318, 0.6842105263157895, 0.6666666666666666, 0.6842105263157895, 0.6842105263157895, 0.6885245901639344, 0.6970684039087948, 0.6928104575163399, 0.6885245901639344, 0.7012987012987013, 0.7096774193548387, 0.7055016181229773, 0.7012987012987013, 0.7055016181229773, 0.7138263665594855, 0.7261146496815286, 0.7341772151898734, 0.7341772151898734]","[0.7010323405265808, 0.6996105313301086, 0.6983575224876404, 0.6972422003746033, 0.6962419748306274, 0.6953415870666504, 0.6945265531539917, 0.6937846541404724, 0.6931081414222717, 0.69249027967453, 0.6919258236885071, 0.6914100050926208, 0.6909385323524475, 0.6905079483985901, 0.6901146769523621, 0.6897558569908142, 0.6894287467002869, 0.6891304850578308, 0.6888588070869446, 0.6886113286018372]",RGCN_MLP
