model,acc,f1,P,neg,L
LP_PUL,0.665,0.7987987987987988,0.13,200.0,
PU_LP,0.5263157894736842,0.6896551724137931,0.13,608.0,
RCSVM,0.4584918713248011,0.6287205027866715,0.13,5782.0,
RANDOM,0.48,0.6486486486486487,0.13,,
RGCN_GAE,0.945,0.9717223650385605,0.13,,2.0
RGCN_GAE,0.82,0.9010989010989011,0.13,,3.0
RGCN_GAE,0.825,0.9041095890410958,0.13,,4.0
RGCN_GAE,0.82,0.9010989010989011,0.13,,5.0
RLP_PUL,0.715,0.8338192419825073,0.13,,
GCN_GAE,0.62,0.7654320987654321,0.13,,
CCRNE,0.51,0.6754966887417219,0.14,200.0,
MCLS,0.98,0.98989898989899,0.14,200.0,
LP_PUL,0.66,0.7951807228915663,0.14,200.0,
PU_LP,0.5572519083969466,0.7156862745098039,0.14,655.0,
RCSVM,0.46683893195521103,0.6365237815619496,0.14,5805.0,
RANDOM,0.52,0.6842105263157895,0.14,,
RGCN_GAE,0.93,0.9637305699481865,0.14,,2.0
RGCN_GAE,0.84,0.9130434782608695,0.14,,3.0
RGCN_GAE,0.78,0.8764044943820225,0.14,,4.0
RGCN_GAE,0.84,0.9130434782608695,0.14,,5.0
RLP_PUL,0.69,0.8165680473372781,0.14,,
GCN_GAE,0.64,0.7804878048780488,0.14,,
CCRNE,0.57,0.7261146496815286,0.15,200.0,
MCLS,0.98,0.98989898989899,0.15,200.0,
LP_PUL,0.67,0.8023952095808383,0.15,200.0,
PU_LP,0.5527065527065527,0.7119266055045872,0.15,702.0,
RCSVM,0.46540880503144655,0.6351931330472103,0.15,5724.0,
RANDOM,0.505,0.6710963455149501,0.15,,
RGCN_GAE,0.925,0.961038961038961,0.15,,2.0
RGCN_GAE,0.85,0.918918918918919,0.15,,3.0
RGCN_GAE,0.78,0.8764044943820225,0.15,,4.0
RGCN_GAE,0.79,0.88268156424581,0.15,,5.0
RLP_PUL,0.75,0.8571428571428571,0.15,,
GCN_GAE,0.585,0.7381703470031545,0.15,,
CCRNE,0.51,0.6754966887417219,0.16,200.0,
MCLS,0.98,0.98989898989899,0.16,200.0,
LP_PUL,0.67,0.8023952095808383,0.16,200.0,
PU_LP,0.5427807486631016,0.7036395147313691,0.16,748.0,
RCSVM,0.4669370481396579,0.6366149777617502,0.16,5671.0,
RANDOM,0.535,0.6970684039087948,0.16,,
RGCN_GAE,0.905,0.9501312335958005,0.16,,2.0
RGCN_GAE,0.855,0.921832884097035,0.16,,3.0
RGCN_GAE,0.825,0.9041095890410958,0.16,,4.0
RGCN_GAE,0.765,0.8668555240793201,0.16,,5.0
RLP_PUL,0.71,0.8304093567251462,0.16,,
GCN_GAE,0.63,0.7730061349693251,0.16,,
CCRNE,0.575,0.7301587301587301,0.17,200.0,
MCLS,0.98,0.98989898989899,0.17,200.0,
LP_PUL,0.665,0.7987987987987988,0.17,200.0,
PU_LP,0.5320754716981132,0.6945812807881774,0.17,795.0,
RCSVM,0.4429530201342282,0.6139534883720931,0.17,5364.0,
RANDOM,0.5,0.6666666666666666,0.17,,
RGCN_GAE,0.885,0.9389920424403183,0.17,,2.0
